date,home_team,score,away_team
29-09-2024,,2 - 2,Ipswich
21-09-2024,,1 - 1,Southampton
14-09-2024,,0 - 0,Brighton
31-08-2024,,1 - 1,Ipswich
24-08-2024,,4 - 1,Man City
17-08-2024,,0 - 2,Ipswich
25-05-2025,,2 - 0,Bournemouth
18-05-2025,,2 - 0,Leicester
11-05-2025,,2 - 2,Nott'm Forest
03-05-2025,,2 - 0,Leicester
26-04-2025,,3 - 0,Wolves
20-04-2025,,0 - 1,Leicester
12-04-2025,,2 - 2,Brighton
07-04-2025,,0 - 3,Leicester
02-04-2025,,2 - 0,Man City
16-03-2025,,0 - 3,Leicester
09-03-2025,,1 - 0,Chelsea
27-02-2025,,2 - 0,West Ham
21-02-2025,,0 - 4,Leicester
15-02-2025,,0 - 2,Leicester
01-02-2025,,4 - 0,Everton
26-01-2025,,1 - 2,Tottenham
18-01-2025,,0 - 2,Leicester
15-01-2025,,0 - 2,Leicester
04-01-2025,,2 - 1,Aston Villa
29-12-2024,,0 - 2,Leicester
26-12-2024,,3 - 1,Liverpool
22-12-2024,,0 - 3,Leicester
14-12-2024,,4 - 0,Newcastle
08-12-2024,,2 - 2,Leicester
03-12-2024,,3 - 1,Leicester
30-11-2024,,4 - 1,Brentford
23-11-2024,,1 - 2,Leicester
10-11-2024,,3 - 0,Man United
02-11-2024,,1 - 1,Ipswich
25-10-2024,,1 - 3,Leicester
19-10-2024,,2 - 3,Southampton
05-10-2024,,1 - 0,Leicester
28-09-2024,,4 - 2,Arsenal
21-09-2024,,1 - 1,Leicester
14-09-2024,,2 - 2,Crystal Palace
31-08-2024,,1 - 2,Leicester
24-08-2024,,2 - 1,Fulham
19-08-2024,,1 - 1,Leicester
25-05-2025,,1 - 1,Liverpool
19-05-2025,,3 - 2,Brighton
11-05-2025,,2 - 2,Liverpool
04-05-2025,,3 - 1,Chelsea
27-04-2025,,5 - 1,Liverpool
20-04-2025,,0 - 1,Leicester
13-04-2025,,2 - 1,Liverpool
06-04-2025,,3 - 2,Fulham
02-04-2025,,1 - 0,Liverpool
08-03-2025,,3 - 1,Liverpool
26-02-2025,,2 - 0,Liverpool
23-02-2025,,0 - 2,Man City
19-02-2025,,2 - 2,Aston Villa
16-02-2025,,2 - 1,Liverpool
12-02-2025,,2 - 2,Everton
01-02-2025,,0 - 2,Bournemouth
25-01-2025,,4 - 1,Liverpool
18-01-2025,,0 - 2,Brentford
14-01-2025,,1 - 1,Nott'm Forest
05-01-2025,,2 - 2,Liverpool
29-12-2024,,0 - 5,West Ham
26-12-2024,,3 - 1,Liverpool
22-12-2024,,3 - 6,Tottenham
14-12-2024,,2 - 2,Liverpool
04-12-2024,,3 - 3,Newcastle
01-12-2024,,2 - 0,Liverpool
24-11-2024,,2 - 3,Southampton
09-11-2024,,2 - 0,Liverpool
02-11-2024,,2 - 1,Liverpool
27-10-2024,,2 - 2,Arsenal
20-10-2024,,2 - 1,Liverpool
05-10-2024,,0 - 1,Crystal Palace
28-09-2024,,1 - 2,Wolves
21-09-2024,,3 - 0,Liverpool
14-09-2024,,0 - 1,Liverpool
01-09-2024,,0 - 3,Man United
25-08-2024,,2 - 0,Liverpool
17-08-2024,,0 - 2,Ipswich
25-05-2025,,0 - 2,Fulham
20-05-2025,,3 - 1,Man City
10-05-2025,,0 - 0,Southampton
02-05-2025,,1 - 0,Man City
22-04-2025,,2 - 1,Man City
19-04-2025,,0 - 2,Everton
12-04-2025,,5 - 2,Man City
06-04-2025,,0 - 0,Man United
02-04-2025,,2 - 0,Man City
15-03-2025,,2 - 2,Man City
08-03-2025,,1 - 0,Nott'm Forest
26-02-2025,,0 - 1,Tottenham
23-02-2025,,0 - 2,Man City
15-02-2025,,4 - 0,Man City
02-02-2025,,5 - 1,Arsenal
25-01-2025,,3 - 1,Man City
19-01-2025,,0 - 6,Ipswich
14-01-2025,,2 - 2,Brentford
04-01-2025,,4 - 1,Man City
29-12-2024,,0 - 2,Leicester
26-12-2024,,1 - 1,Man City
21-12-2024,,2 - 1,Aston Villa
15-12-2024,,1 - 2,Man City
07-12-2024,,2 - 2,Crystal Palace
04-12-2024,,3 - 0,Man City
01-12-2024,,2 - 0,Liverpool
23-11-2024,,0 - 4,Man City
09-11-2024,,2 - 1,Brighton
02-11-2024,,2 - 1,Bournemouth
26-10-2024,,1 - 0,Man City
20-10-2024,,1 - 2,Wolves
05-10-2024,,3 - 2,Man City
28-09-2024,,1 - 1,Newcastle
22-09-2024,,2 - 2,Man City
14-09-2024,,2 - 1,Man City
31-08-2024,,1 - 3,West Ham
24-08-2024,,4 - 1,Man City
18-08-2024,,0 - 2,Chelsea
25-05-2025,,2 - 0,Man United
16-05-2025,,1 - 0,Chelsea
11-05-2025,,0 - 2,Man United
04-05-2025,,4 - 3,Brentford
27-04-2025,,1 - 1,Bournemouth
20-04-2025,,0 - 1,Man United
13-04-2025,,4 - 1,Newcastle
06-04-2025,,0 - 0,Man United
01-04-2025,,1 - 0,Nott'm Forest
16-03-2025,,0 - 3,Leicester
09-03-2025,,1 - 1,Man United
26-02-2025,,3 - 2,Man United
22-02-2025,,2 - 2,Everton
16-02-2025,,1 - 0,Tottenham
02-02-2025,,0 - 2,Man United
26-01-2025,,0 - 1,Fulham
19-01-2025,,1 - 3,Man United
16-01-2025,,3 - 1,Man United
05-01-2025,,2 - 2,Liverpool
30-12-2024,,0 - 2,Man United
26-12-2024,,2 - 0,Wolves
22-12-2024,,0 - 3,Man United
15-12-2024,,1 - 2,Man City
07-12-2024,,2 - 3,Man United
04-12-2024,,2 - 0,Arsenal
01-12-2024,,4 - 0,Man United
24-11-2024,,1 - 1,Ipswich
10-11-2024,,3 - 0,Man United
03-11-2024,,1 - 1,Man United
27-10-2024,,2 - 1,West Ham
19-10-2024,,2 - 1,Man United
06-10-2024,,0 - 0,Aston Villa
29-09-2024,,0 - 3,Man United
21-09-2024,,0 - 0,Crystal Palace
14-09-2024,,0 - 3,Southampton
01-09-2024,,0 - 3,Man United
24-08-2024,,2 - 1,Brighton
16-08-2024,,1 - 0,Man United
25-05-2025,,0 - 1,Newcastle
18-05-2025,,1 - 0,Arsenal
11-05-2025,,2 - 0,Newcastle
04-05-2025,,1 - 1,Brighton
26-04-2025,,3 - 0,Newcastle
19-04-2025,,4 - 1,Aston Villa
16-04-2025,,5 - 0,Newcastle
13-04-2025,,4 - 1,Newcastle
07-04-2025,,0 - 3,Leicester
02-04-2025,,2 - 1,Newcastle
10-03-2025,,0 - 1,West Ham
26-02-2025,,2 - 0,Liverpool
23-02-2025,,4 - 3,Newcastle
15-02-2025,,4 - 0,Man City
01-02-2025,,1 - 2,Newcastle
25-01-2025,,1 - 3,Southampton
18-01-2025,,1 - 4,Newcastle
15-01-2025,,3 - 0,Newcastle
04-01-2025,,1 - 2,Tottenham
30-12-2024,,0 - 2,Man United
26-12-2024,,3 - 0,Newcastle
21-12-2024,,0 - 4,Ipswich
14-12-2024,,4 - 0,Newcastle
07-12-2024,,4 - 2,Brentford
04-12-2024,,3 - 3,Newcastle
30-11-2024,,1 - 1,Crystal Palace
25-11-2024,,0 - 2,Newcastle
10-11-2024,,1 - 3,Nott'm Forest
02-11-2024,,1 - 0,Newcastle
27-10-2024,,2 - 1,Chelsea
19-10-2024,,0 - 1,Newcastle
05-10-2024,,0 - 0,Everton
28-09-2024,,1 - 1,Newcastle
21-09-2024,,3 - 1,Fulham
15-09-2024,,1 - 2,Wolves
01-09-2024,,2 - 1,Newcastle
25-08-2024,,1 - 1,Bournemouth
17-08-2024,,1 - 0,Newcastle
25-05-2025,,0 - 1,Nott'm Forest
18-05-2025,,1 - 2,West Ham
11-05-2025,,2 - 2,Nott'm Forest
05-05-2025,,1 - 1,Crystal Palace
01-05-2025,,0 - 2,Nott'm Forest
21-04-2025,,1 - 2,Tottenham
12-04-2025,,0 - 1,Nott'm Forest
05-04-2025,,2 - 1,Aston Villa
01-04-2025,,1 - 0,Nott'm Forest
15-03-2025,,2 - 4,Ipswich
08-03-2025,,1 - 0,Nott'm Forest
26-02-2025,,0 - 0,Nott'm Forest
23-02-2025,,4 - 3,Newcastle
15-02-2025,,2 - 1,Fulham
01-02-2025,,7 - 0,Nott'm Forest
25-01-2025,,5 - 0,Bournemouth
19-01-2025,,3 - 2,Nott'm Forest
14-01-2025,,1 - 1,Nott'm Forest
06-01-2025,,0 - 3,Wolves
29-12-2024,,0 - 2,Everton
